"price","types","address","latitude","longtitude","date","sq.","TotalBeds","TotalBaths","TotalReceptions","FlatType"
840000,"2 bed flat for sale ","Pinto Tower, Nine Elms Point, Nine Elms SW8",51.48153,-0.127924,"2/9/2021",NA,2,2,1,"flat"
615000,"2 bed flat for sale ","Bollo Lane, Acton, London W3",51.501862,-0.278201,"2/9/2021","798",2,2,0,"flat"
485000,"1 bed flat for sale ","Bollo Lane, Acton, London W3",51.501862,-0.278201,"2/9/2021","535",1,1,0,"flat"
1175000,"4 bed terraced house for sale ","Brocklebank Road, Earlsfield SW18",51.449462,-0.185756,"2/9/2021","1,345",4,2,1,"terraced house"
1550000,"5 bed detached house for sale ","Cole Park Gardens, Twickenham TW1",51.457433,-0.328129,"2/9/2021",NA,5,3,3,"detached house"
1400000,"4 bed semi-detached house for sale ","Atbara Road, Teddington TW11",51.424447,-0.318525,"2/9/2021",NA,4,1,2,"semi-detached house"
769000,"2 bed flat for sale ","Lakeside Drive, Park Royal, London NW10",51.531087,-0.285801,"2/9/2021",NA,2,2,1,"flat"
690000,"3 bed flat for sale ","Bollo Lane, Acton, London W3",51.501862,-0.278201,"2/9/2021","1,051",3,2,0,"flat"
525000,"5 bed semi-detached house for sale ","Totnes Road, Welling DA16",51.474587,0.114884,"2/9/2021",NA,5,1,2,"semi-detached house"
5e+05,"2 bed flat for sale ","Sydney Road, Enfield EN2",51.649114,-0.081239,"2/9/2021",NA,2,2,1,"flat"
450000,"3 bed maisonette for sale ","Lordship Lane, London N22",51.598354,-0.096573,"2/9/2021",NA,3,1,1,"maisonette"
685000,"3 bed flat for sale ","Bollo Lane, Acton, London W3",51.501862,-0.278201,"2/9/2021","1,051",3,2,0,"flat"
995000,"4 bed town house for sale ","Sir Alexander Close, Acton W3",51.508399,-0.249145,"2/9/2021","2,500",4,3,1,"town house"
750000,"2 bed flat for sale ","Pilot Walk, London SE10",51.497588,0.012385,"2/9/2021","790",2,2,1,"flat"
549900,"1 bed flat for sale ","The Shoreline Building, 42 Newnton Close, London N4",51.57316,-0.08542,"2/9/2021",NA,1,1,1,"flat"
1150000,"5 bed semi-detached house for sale ","Dukes Avenue, New Malden KT3",51.403677,-0.252907,"2/9/2021",NA,5,2,3,"semi-detached house"
350000,"1 bed flat for sale ","Trinity Court, 221 Marsh Road, Pinner, Middlesex HA5",51.59254,-0.382417,"2/9/2021",NA,1,1,0,"flat"
435000,"2 bed flat for sale ","Conifer Court, Inner Park Road, Southfields SW19",51.444855,-0.221274,"2/9/2021",NA,2,2,1,"flat"
360000,"1 bed flat for sale ","Trinity Court, 221 Marsh Road, Pinner, Middlesex HA5",51.59254,-0.382417,"2/9/2021",NA,1,1,0,"flat"
285000,"1 bed flat for sale ","Belmont Road, Uxbridge, Middlesex UB8",51.548115,-0.478315,"2/9/2021",NA,1,1,1,"flat"
4e+05,"1 bed flat for sale ","Ballina Street, London SE23",51.44857,-0.044365,"2/9/2021",NA,1,1,1,"flat"
635000,"1 bed flat for sale ","Pinto Tower, Nine Elms Point, Nine Elms SW8",51.48153,-0.127924,"2/9/2021",NA,1,1,1,"flat"
465000,"2 bed maisonette for sale ","Como Road, London SE23",51.436746,-0.043121,"2/9/2021",NA,2,1,1,"maisonette"
450000,"4 bed terraced house for sale ","Melrose Close, Hayes UB4",51.525187,-0.413331,"2/9/2021",NA,4,1,1,"terraced house"
4e+05,"3 bed end terrace house for sale ","Green Lane, Dagenham, Essex RM8",51.561185,0.137814,"2/9/2021",NA,3,1,1,"end terrace house"
3e+05,"2 bed flat for sale ","Byron Way, Northolt UB5",51.530323,-0.385285,"2/9/2021",NA,2,1,1,"flat"
3e+05,"1 bed flat for sale ","Yunus Khan Close, Walthamstow, London E17",51.578013,-0.018863,"2/9/2021",NA,1,1,1,"flat"
550000,"2 bed terraced house for sale ","Downsfield Road, Walthamstow, London E17",51.576538,-0.032398,"2/9/2021",NA,2,1,1,"terraced house"
325000,"2 bed flat for sale ","Rutland Walk, Catford SE6",51.43719,-0.032519,"2/9/2021",NA,2,1,1,"flat"
450000,"2 bed flat for sale ","Voltaire Road, London SW4",51.464741,-0.131427,"2/9/2021",NA,2,1,1,"flat"
425000,"1 bed flat for sale ","Evering Road, London E5",51.560356,-0.061884,"2/9/2021",NA,1,1,1,"flat"
